feature_type,model_name,student_id,slide_id,agent gaze entropy,user gaze entropy,agent workload,agent curiosity,agent valid focus,agent course follow,user workload,user curiosity,user valid focus,user course follow,agent question accuracy,user question accuracy
number,random_forest,302,1,,0.8699155297736259,0.1391999999999998,0.0681,0.3756000000000003,0.0889999999999999,0.51,0.11,0.8,0.3,1.0,0.8571428571428571
number,random_forest,302,2,,0.7442626474488743,0.2014999999999996,0.1381,0.5782000000000002,0.3529999999999999,0.58,0.16,1.0,0.0,1.0,0.6666666666666666
number,random_forest,304,1,,0.7653195311147832,0.4008000000000003,0.2253000000000001,0.8369999999999999,0.0952999999999998,0.51,0.19,1.0,0.43,0.0,0.7142857142857143
number,random_forest,304,2,,0.2974722489192896,0.4606999999999995,0.2067999999999999,0.9907,0.0278,0.65,0.49,1.0,0.4,0.0,0.6666666666666666
number,random_forest,305,2,,0.9182958340544896,0.0369,0.017,0.1629000000000001,0.0454,0.34,0.11,0.8,0.0,1.0,0.3333333333333333
number,random_forest,311,1,,1.0,0.1977,0.1568,0.7290000000000001,0.0575999999999999,0.35,0.22,0.71,0.14,0.0,0.7142857142857143
number,random_forest,314,1,,0.8839297342362052,0.4245999999999998,0.2966999999999996,0.9300000000000002,0.1549999999999998,0.36,0.11,0.86,0.57,1.0,0.5714285714285714
number,random_forest,314,2,,0.7326278250566124,0.3223999999999998,0.2184000000000003,0.8991999999999998,0.6587999999999997,0.21,0.14,1.0,0.0,0.0,0.3333333333333333
number,random_forest,318,1,,0.9182958340544896,0.3200999999999995,0.2023,0.8760000000000002,0.0129999999999999,0.32,0.12,1.0,0.86,1.0,0.7142857142857143
number,random_forest,318,2,,0.950175388079972,0.1987,0.1043999999999999,0.5370999999999999,0.0880999999999999,0.51,0.23,1.0,0.5,1.0,1.0
number,random_forest,319,1,,0.9852281360342516,0.3206999999999997,0.2691000000000003,0.8756000000000005,0.0316,0.26,0.36,1.0,1.0,1.0,0.7142857142857143
number,random_forest,319,2,,0.9798687566511528,0.2863999999999996,0.1656000000000002,0.6469000000000003,0.2166999999999997,0.53,0.6,1.0,0.4,1.0,0.6666666666666666
number,random_forest,320,1,,0.8342022886441014,0.2190999999999999,0.2637999999999997,0.973,0.0661999999999999,0.3,0.17,0.83,0.33,0.0,0.7142857142857143
number,random_forest,320,2,,0.8501118631279323,0.1904,0.1146999999999999,0.8197999999999996,0.1770999999999999,0.33,0.29,1.0,0.0,1.0,0.6666666666666666
number,random_forest,321,1,,0.7233083338141041,0.2747999999999997,0.2718999999999996,0.8311999999999994,0.0175999999999999,0.39,0.23,0.83,0.17,1.0,0.5714285714285714
number,random_forest,321,2,,0.7402395000567984,0.2395999999999999,0.1155999999999999,0.8377999999999998,0.2591,0.53,0.63,1.0,0.4,0.0,0.3333333333333333
number,random_forest,322,1,,,0.3215000000000003,0.1573999999999998,0.7337,0.0584,0.28,0.11,0.75,0.75,1.0,0.5714285714285714
number,random_forest,322,2,,,0.1454999999999998,0.0635999999999999,0.3841999999999996,0.1686,0.48,0.39,1.0,0.5,1.0,0.6666666666666666
