exp_id,course_name,student_id,test_type,score
1,star,8,post,58.3333333333333
1,bulb,8,pre,72.7272727272727
1,bulb,8,post,75.0
1,immune,8,pre,81.8181818181818
1,immune,8,post,66.6666666666667
1,internet,8,pre,81.8181818181818
1,internet,8,post,50.0
1,birth,8,pre,54.5454545454545
1,birth,8,post,83.3333333333333
1,star,9,pre,45.4545454545455
1,star,9,post,58.3333333333333
1,bulb,9,pre,54.5454545454545
1,bulb,9,post,33.3333333333333
1,immune,9,pre,63.6363636363636
1,immune,9,post,58.3333333333333
1,internet,9,pre,45.4545454545455
1,internet,9,post,16.6666666666667
1,birth,9,pre,45.4545454545455
1,birth,9,post,75.0
1,star,10,pre,45.4545454545455
1,star,10,post,50.0
1,bulb,10,pre,45.4545454545455
1,bulb,10,post,33.3333333333333
1,immune,10,pre,63.6363636363636
1,immune,10,post,41.6666666666667
1,internet,10,pre,63.6363636363636
1,internet,10,post,50.0
1,birth,10,pre,45.4545454545455
1,birth,10,post,66.6666666666667
1,star,11,pre,54.5454545454545
1,star,11,post,41.6666666666667
1,bulb,11,pre,54.5454545454545
1,bulb,11,post,33.3333333333333
1,immune,11,pre,63.6363636363636
1,immune,11,post,58.3333333333333
1,internet,11,pre,72.7272727272727
1,internet,11,post,83.3333333333333
1,birth,11,pre,54.5454545454545
1,birth,11,post,91.6666666666667
1,star,12,pre,54.5454545454545
1,star,12,post,58.3333333333333
1,bulb,12,pre,36.3636363636364
1,bulb,12,post,33.3333333333333
1,immune,12,pre,63.6363636363636
1,immune,12,post,66.6666666666667
1,internet,12,pre,54.5454545454545
1,internet,12,post,75.0
1,birth,12,pre,36.3636363636364
1,birth,12,post,83.3333333333333
1,star,13,pre,54.5454545454545
1,star,13,post,25.0
1,bulb,13,pre,54.5454545454545
1,bulb,13,post,50.0
1,immune,13,pre,45.4545454545455
1,immune,13,post,75.0
1,internet,13,pre,36.3636363636364
1,internet,13,post,50.0
1,birth,13,pre,36.3636363636364
1,birth,13,post,91.6666666666667
1,star,14,pre,27.2727272727273
1,star,14,post,91.6666666666667
1,bulb,14,pre,54.5454545454545
1,bulb,14,post,75.0
1,immune,14,pre,63.6363636363636
1,immune,14,post,91.6666666666667
1,internet,14,pre,72.7272727272727
1,internet,14,post,58.3333333333333
1,birth,14,pre,36.3636363636364
1,birth,14,post,100.0
1,star,15,pre,54.5454545454545
1,star,15,post,91.6666666666667
1,bulb,15,pre,54.5454545454545
1,bulb,15,post,83.3333333333333
